CH coordinates x,CH coordinates y,Altitude [m asl],Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
778575,144976,1804,-6.8,-6.5,-2.9,0.7,5.6,9.1,11.5,11.2,8,4,-1.4,-4.9,2.3
591630,118575,482,-0.1,1.8,6.5,10.4,14.9,18.1,20.1,19.2,15.2,10.3,4.3,0.6,10.1
747865,254588,775,-0.3,0.4,3.9,7.4,12,15,17.2,16.8,13.1,9.1,3.7,0.8,8.3
828861,165580,1383,-2.8,-2.1,1.3,5.1,10.1,13.5,15.5,14.7,10.8,6.4,0.9,-2.5,5.9
716050,77966,353,1.1,2.6,7.1,10.6,15.2,19,21.3,20.5,16.3,11.7,6,1.9,11.1
744200,234920,2502,-6.9,-7.7,-6.3,-3.9,0.7,3.6,6.1,6.1,3.4,1,-3.9,-6.2,-1.2
666740,150760,1345,-7.6,-5.9,-1,3.2,8.2,11.8,14.3,13.5,9.8,5.4,-1.2,-5.9,3.7
757719,221697,457,0.8,2.1,6.3,9.9,14.4,17.1,19,18.4,14.9,10.9,5.2,1.9,10.1
631149,128020,639,-1.3,0.9,5.9,9.7,14.2,17.3,19.3,18.5,14.7,9.9,3.7,-0.4,9.4
780615,189634,2691,-7.9,-8.7,-7.3,-4.9,-0.1,3.1,5.9,6,2.9,0.3,-4.8,-7.2,-1.9
626400,233850,422,0,0.7,4.7,8.4,13.1,16.4,18.5,17.8,13.8,9.5,4,1.1,9
693847,230744,485,0.3,1.2,5.2,9,13.6,16.8,19,18.3,14.4,10.2,4.6,1.6,9.5
624350,97560,1638,-4.2,-3.7,-0.4,3.1,7.8,11,13.4,12.7,9.2,5.3,-0.2,-3.3,4.2
681428,253546,443,0.3,1.1,5.2,8.9,13.5,16.7,18.8,18.2,14.2,9.8,4.3,1.5,9.4
685117,248066,555,0.3,1.3,5.3,8.8,13.3,16.4,18.6,18,14.1,9.9,4.4,1.4,9.3
682710,259339,426,0.2,1.1,5.2,8.9,13.5,16.7,18.9,18.2,14.2,9.8,4.2,1.4,9.4
